Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-02 18:08:32.268089+05:30 IST Asia/Kolkata,ETHUSD,28,buy,28/0,4317,4531.7,4316.74,1208.76,0.64185156,4.8775,4.8775,market_order,closed,,,902194132
2025-09-02 18:00:47.996069+05:30 IST Asia/Kolkata,AVAXUSD,3,buy,3/0,23.984,26.3349,23.9631,71.952,0.03820652,-0.036,-0.036,market_order,closed,,,902193972
2025-09-02 17:32:50.033533+05:30 IST Asia/Kolkata,ETHUSD,25,sell,25/0,4332.85,4121.4,,1083.2125,0.57518584,0,0,market_order,closed,,,902141690
2025-09-02 17:31:21.072530+05:30 IST Asia/Kolkata,AVAXUSD,3,sell,3/0,23.972,21.5738,,71.916,0.0381874,0,0,market_order,closed,,,902136031
2025-09-02 17:31:06.476164+05:30 IST Asia/Kolkata,ETHUSD,3,sell,3/0,4347.5,4131.7,,130.425,0.06925568,0,0,market_order,closed,,,902135273
2025-09-02 17:30:52.440769+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,109798,104308,,109.798,0.05830274,0,0,market_order,closed,,,902134577
2025-09-02 10:14:03.923472+05:30 IST Asia/Kolkata,AVAXUSD,11,sell,11/0,23.888,21.4978,,262.768,0.13952981,2.762,2.762,market_order,closed,,,901520221
2025-09-02 08:42:01.844636+05:30 IST Asia/Kolkata,AVAXUSD,10,buy,10/0,23.666,26.0161,,236.66,0.12566646,0,0,market_order,closed,,,901400333
2025-09-02 08:04:37.871798+05:30 IST Asia/Kolkata,AVAXUSD,1,buy,1/0,23.346,25.6666,,23.346,0.01239673,0,0,market_order,closed,,,901331148
2025-09-01 21:36:25.921046+05:30 IST Asia/Kolkata,AVAXUSD,5,buy,5/0,23.608,25.9411,,118.04,0.06267924,-0.31,-0.31,market_order,closed,,,900574749
2025-09-01 21:33:12.978731+05:30 IST Asia/Kolkata,AVAXUSD,5,sell,5/0,23.546,21.1809,,117.73,0.06251463,0,0,market_order,closed,,,900567254
2025-09-01 21:33:04.709527+05:30 IST Asia/Kolkata,AVAXUSD,3,sell,3/0,23.55,21.2093,,70.65,0.03751515,-0.102,-0.102,market_order,closed,,,900566332
2025-09-01 21:32:18.646247+05:30 IST Asia/Kolkata,AVAXUSD,3,buy,3/0,23.584,25.9394,,70.752,0.03756932,0,0,market_order,closed,,,900563496
